index,Row ID,Opportunity ID,Created Date,Closed Date,Stage,Opportunity Name,Sales
44,5737,CA-2016-148614,01/21/20,01/26/20,Closed Won,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36
45,5738,CA-2016-148614,01/21/20,01/26/20,Closed Won,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30
46,1122,US-2016-147627,01/21/20,01/27/20,Closed Won,Apple iPhone 5C,699.93
47,1123,US-2016-147627,01/21/20,01/27/20,Closed Won,Newell 351,22.96
48,1124,US-2016-147627,01/21/20,01/27/20,Closed Won,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.60
49,1125,US-2016-147627,01/21/20,01/27/20,Closed Won,Newell 327,6.63
50,1126,US-2016-147627,01/21/20,01/27/20,Closed Won,Staple envelope,23.34
51,1127,US-2016-147627,01/21/20,01/27/20,Closed Won,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94
52,6327,CA-2016-167927,01/21/20,01/27/20,Closed Won,Eldon Fold 'N Roll Cart System,13.98
53,6328,CA-2016-167927,01/21/20,01/27/20,Closed Won,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94
54,6329,CA-2016-167927,01/21/20,01/27/20,Closed Won,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05
55,6330,CA-2016-167927,01/21/20,01/27/20,Closed Won,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247716.00
56,6331,CA-2016-167927,01/21/20,01/27/20,Closed Won,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58
57,6332,CA-2016-167927,01/21/20,01/27/20,Closed Won,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92
58,6333,CA-2016-167927,01/21/20,01/27/20,Closed Won,Ultra Door Push Plate,14.73
59,6334,CA-2016-167927,01/21/20,01/27/20,Closed Won,Storex Dura Pro Binders,29700.00
60,7121,US-2016-147774,01/21/20,01/27/20,Closed Won,GBC DocuBind TL200 Manual Binding Machine,67194.00
61,9887,CA-2016-146997,01/24/20,01/28/20,Closed Won,"Alliance Big Bands Rubber Bands, 12/Pack",5.94
62,9156,CA-2016-102645,01/24/20,01/29/20,Closed Won,Xerox 195,40.08
63,8150,CA-2016-167997,01/27/20,01/30/20,Closed Lost,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68
64,8151,CA-2016-167997,01/27/20,01/30/20,Closed Lost,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96
65,2579,US-2016-155502,01/27/20,02/01/2020,Closed Won,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",6282.00
66,2580,US-2016-155502,01/27/20,02/01/2020,Closed Won,"SAFCO Commercial Wire Shelving, 72h",489.92
67,2581,US-2016-155502,01/27/20,02/01/2020,Closed Won,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44
68,2582,US-2016-155502,01/27/20,02/01/2020,Closed Won,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68
69,2583,US-2016-155502,01/27/20,02/01/2020,Closed Won,Macally Suction Cup Mount,155.35
70,2584,US-2016-155502,01/27/20,02/01/2020,Closed Won,Eldon Image Series Black Desk Accessories,12420.00
71,2585,US-2016-155502,01/27/20,02/01/2020,Closed Won,Jabra SPEAK 410,187.98
72,3366,CA-2016-115161,02/01/2020,02/03/2020,Closed Lost,"Sauder Facets Collection Library, Sky Alder Finish",290666.00
73,3795,US-2016-117163,01/28/20,02/03/2020,Closed Won,Recycled Steel Personal File for Hanging File Folders,57.23
74,3796,US-2016-117163,01/28/20,02/03/2020,Closed Won,Balt Split Level Computer Training Table,333.00
75,3797,US-2016-117163,01/28/20,02/03/2020,Closed Won,Dixon Ticonderoga Core-Lock Colored Pencils,36.44
76,541,CA-2016-140795,02/02/2020,02/04/2020,Closed Lost,Enermax Aurora Lite Keyboard,468.90
77,3084,CA-2016-100328,01/29/20,02/04/2020,Closed Won,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3928.00
78,6388,CA-2016-134103,01/31/20,02/05/2020,Closed Won,Xerox 1972,10.56
79,6389,CA-2016-134103,01/31/20,02/05/2020,Closed Won,Space Solutions HD Industrial Steel Shelving.,229.94
80,1518,CA-2016-111059,02/04/2020,02/07/2020,Negotiating,Ibico Laser Imprintable Binding System Covers,83.84
81,1519,CA-2016-111059,02/04/2020,02/07/2020,Negotiating,Avery Durable Poly Binders,13272.00
82,1704,CA-2016-139857,02/03/2020,02/07/2020,Closed Won,Staples,12.35
83,1544,CA-2016-107181,02/05/2020,02/09/2020,Closed Won,GBC Recycled Grain Textured Covers,82896.00
84,1545,CA-2016-107181,02/05/2020,02/09/2020,Closed Won,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24
85,8585,CA-2016-104808,02/05/2020,02/09/2020,Negotiating,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17248.00
86,1998,CA-2016-131905,02/07/2020,02/10/2020,Closed Lost,Avery 480,15.00
87,1999,CA-2016-131905,02/07/2020,02/10/2020,Closed Lost,Aastra 57i VoIP phone,161.61
88,2000,CA-2016-131905,02/07/2020,02/10/2020,Closed Lost,AT&T CL82213,144.95
89,9138,CA-2016-123400,02/03/2020,02/10/2020,Closed Won,Surelock Post Binders,18336.00
90,9139,CA-2016-123400,02/03/2020,02/10/2020,Closed Won,AT&T 17929 Lendline Telephone,180.96
91,9267,CA-2016-125759,02/09/2020,02/10/2020,Closed Lost,"Master Caster Door Stop, Large Brown",14.56
92,8736,US-2016-169390,02/08/2020,02/11/2020,Negotiating,Acco Perma 4000 Stacking Storage Drawers,64.96
93,8981,CA-2016-108182,02/07/2020,02/11/2020,Negotiating,"Avery Flip-Chart Easel Binder, Black",8952.00
94,850,CA-2016-107755,02/08/2020,02/13/20,Closed Won,Maxell DVD-RAM Discs,115.36
95,5631,CA-2016-127614,02/12/2020,02/16/20,Closed Won,Enermax Aurora Lite Keyboard,234.45
96,5632,CA-2016-127614,02/12/2020,02/16/20,Closed Won,Hon 2111 Invitation Series Corner Table,1256.22
97,5633,CA-2016-127614,02/12/2020,02/16/20,Closed Won,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
98,9255,CA-2016-168368,02/12/2020,02/16/20,Negotiating,"Global Value Mid-Back Manager's Chair, Gray",60.89
99,9256,CA-2016-168368,02/12/2020,02/16/20,Negotiating,Avery 483,14.94
100,9257,CA-2016-168368,02/12/2020,02/16/20,Negotiating,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64
101,9258,CA-2016-168368,02/12/2020,02/16/20,Negotiating,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94
102,9259,CA-2016-168368,02/12/2020,02/16/20,Negotiating,VariCap6 Expandable Binder,51900.00
103,9260,CA-2016-168368,02/12/2020,02/16/20,Negotiating,Fellowes Neat Ideas Storage Cubes,64.96
104,457,US-2016-110674,02/13/20,02/19/20,Closed Won,"Global Geo Office Task Chair, Gray",129568.00
105,6082,US-2016-165589,02/19/20,02/19/20,Proposing,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16
106,9762,CA-2016-121762,02/15/20,02/19/20,Closed Won,Logitech G600 MMO Gaming Mouse,239.97
107,9763,CA-2016-121762,02/15/20,02/19/20,Closed Won,Belkin 8 Outlet Surge Protector,8196.00
108,9764,CA-2016-121762,02/15/20,02/19/20,Closed Won,Compact Automatic Electric Letter Opener,238.62
109,5467,CA-2016-107706,02/15/20,02/20/20,Negotiating,"Memo Book, 100 Message Capacity, 5 3/8â€ x 11â€",16176.00
110,7438,CA-2016-165568,02/16/20,02/20/20,Closed Won,Pressboard Data Binders by Wilson Jones,21.36
111,1333,CA-2016-122567,02/17/20,02/22/20,Closed Won,Wilson Jones Easy Flow II Sheet Lifters,10800.00
112,1334,CA-2016-122567,02/17/20,02/22/20,Closed Won,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7960.00
113,7611,CA-2016-133354,02/23/20,02/25/20,Closed Lost,Xerox 220,19.44
114,8223,CA-2016-152905,02/19/20,02/25/20,Closed Won,Akro Stacking Bins,12624.00
115,8504,CA-2016-164903,02/21/20,02/25/20,Closed Won,Xerox 204,12.96
116,9516,CA-2016-154165,02/18/20,02/25/20,Closed Won,Staples in misc. colors,54208.00
117,2883,CA-2016-165540,02/22/20,02/26/20,Closed Won,GBC Standard Plastic Binding Systems Combs,8850.00
118,4521,CA-2016-109491,02/21/20,02/27/20,Closed Won,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31
119,4522,CA-2016-109491,02/21/20,02/27/20,Closed Won,"Master Caster Door Stop, Brown",20.32
120,6530,CA-2016-103744,02/24/20,02/28/20,Closed Won,Staple-on labels,6936.00
121,6531,CA-2016-103744,02/24/20,02/28/20,Closed Won,GBC Plastic Binding Combs,4428.00
122,5512,US-2016-137680,02/25/20,03/03/2020,Closed Won,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32896.00
123,5513,US-2016-137680,02/25/20,03/03/2020,Closed Won,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22776.00
124,9464,CA-2016-156545,02/28/20,03/04/2020,Closed Lost,Zebra Zazzle Fluorescent Highlighters,19456.00
125,1565,CA-2016-116239,03/05/2020,03/05/2020,Proposing,Sensible Storage WireTech Storage Systems,35490.00
126,5714,US-2016-143707,03/02/2020,03/06/2020,Closed Won,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94
127,6548,CA-2016-113880,03/02/2020,03/06/2020,Closed Won,Novimex Swivel Fabric Task Chair,634116.00
128,6549,CA-2016-113880,03/02/2020,03/06/2020,Closed Won,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17472.00
129,7948,CA-2016-131009,03/02/2020,03/06/2020,Closed Won,Plymouth Boxed Rubber Bands by Plymouth,18.84
130,7949,CA-2016-131009,03/02/2020,03/06/2020,Closed Won,Harbour Creations Steel Folding Chair,362.25
131,7950,CA-2016-131009,03/02/2020,03/06/2020,Closed Won,DAX Black Cherry Wood-Tone Poster Frame,6355.20
132,7951,CA-2016-131009,03/02/2020,03/06/2020,Closed Won,Fellowes Bankers Box Recycled Super Stor/Drawer,129552.00
133,158,CA-2016-104269,03/02/2020,03/07/2020,Negotiating,Global Deluxe High-Back Manager's Chair,457568.00
134,9946,CA-2016-111157,03/03/2020,03/07/2020,Closed Won,Xerox 1971,34240.00
135,9947,CA-2016-111157,03/03/2020,03/07/2020,Closed Won,Hypercom P1300 Pinpad,15120.00
136,556,CA-2016-155852,03/04/2020,03/08/2020,Negotiating,Zebra Zazzle Fluorescent Highlighters,19456.00
137,7349,CA-2016-130421,03/04/2020,03/08/2020,Closed Won,3.6 Cubic Foot Counter Height Office Refrigerator,17677.20
138,8310,CA-2016-168312,03/02/2020,03/08/2020,Closed Won,Recycled Steel Personal File for Hanging File Folders,137352.00
139,8311,CA-2016-168312,03/02/2020,03/08/2020,Closed Won,Bevis Round Conference Room Tables and Bases,376509.00
140,8712,CA-2016-105648,03/04/2020,03/08/2020,Closed Won,"Bevis Oval Conference Table, Walnut",6263.52
141,1163,CA-2016-127964,03/04/2020,03/09/2020,Closed Won,PowerGen Dual USB Car Charger,9.99
142,1164,CA-2016-127964,03/04/2020,03/09/2020,Closed Won,Ibico Laser Imprintable Binding System Covers,125.76
143,1165,CA-2016-127964,03/04/2020,03/09/2020,Closed Won,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.32
144,4962,CA-2016-156587,03/08/2020,03/09/2020,Closed Lost,"Global Push Button Manager's Chair, Indigo",48712.00
145,4963,CA-2016-156587,03/08/2020,03/09/2020,Closed Lost,Newell 330,17.94
146,4964,CA-2016-156587,03/08/2020,03/09/2020,Closed Lost,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94
147,6058,CA-2016-107524,03/03/2020,03/09/2020,Closed Won,Staple envelope,11.36
148,6059,CA-2016-107524,03/03/2020,03/09/2020,Closed Won,"Array Parchment Paper, Assorted Colors",36.40
149,7247,US-2016-127978,03/04/2020,03/09/2020,Closed Won,Avery 495,15.12
150,7248,US-2016-127978,03/04/2020,03/09/2020,Closed Won,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45
151,7249,US-2016-127978,03/04/2020,03/09/2020,Closed Won,Eldon Shelf Savers Cubes and Bins,44672.00
152,8497,CA-2016-169061,03/06/2020,03/09/2020,Negotiating,Newell 345,59.52
153,8498,CA-2016-169061,03/06/2020,03/09/2020,Negotiating,Logitech Wireless Gaming Headset G930,479.97
154,8499,CA-2016-169061,03/06/2020,03/09/2020,Negotiating,Acme Forged Steel Scissors with Black Enamel Handles,18.62
155,8500,CA-2016-169061,03/06/2020,03/09/2020,Negotiating,GBC Wire Binding Combs,49632.00
156,8501,CA-2016-169061,03/06/2020,03/09/2020,Negotiating,Xerox 1891,97.82
157,4422,CA-2016-117016,03/05/2020,03/10/2020,Closed Won,"BIC Brite Liner Highlighters, Chisel Tip",15552.00
158,5254,US-2016-131982,03/08/2020,03/12/2020,Negotiating,Catalog Binders with Expanding Posts,107648.00
159,9641,CA-2016-104563,03/08/2020,03/13/20,Closed Won,Newell Chalk Holder,20.65
160,9642,CA-2016-104563,03/08/2020,03/13/20,Closed Won,"Contico 72""H Heavy-Duty Storage System",204.90
161,9643,CA-2016-104563,03/08/2020,03/13/20,Closed Won,Office Star - Task Chair with Contemporary Loop Arms,43670.40
162,9644,CA-2016-104563,03/08/2020,03/13/20,Closed Won,"Global Leather and Oak Executive Chair, Black",481568.00
163,7015,CA-2016-114790,03/12/2020,03/14/20,Negotiating,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",146.76
164,7016,CA-2016-114790,03/12/2020,03/14/20,Negotiating,Maxell DVD-RAM Discs,32.96
165,7017,CA-2016-114790,03/12/2020,03/14/20,Negotiating,Panasonic KX-TG9471B,587.97
166,7018,CA-2016-114790,03/12/2020,03/14/20,Negotiating,Xerox 198,14.94
167,1172,US-2016-100279,03/11/2020,03/15/20,Closed Won,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.38
168,3442,CA-2016-158337,03/12/2020,03/15/20,Negotiating,"Southworth 100% RÃ©sumÃ© Paper, 24lb.",108.92
169,8300,US-2016-103338,03/12/2020,03/16/20,Closed Won,Economy #2 Pencils,7.98
170,1542,CA-2016-166884,03/12/2020,03/17/20,Negotiating,Eldon Wave Desk Accessories,8.32
171,1543,CA-2016-166884,03/12/2020,03/17/20,Negotiating,Stockwell Push Pins,10464.00
172,2101,US-2016-140116,03/11/2020,03/18/20,Closed Won,Tennsco 6- and 18-Compartment Lockers,6364.08
173,2102,US-2016-140116,03/11/2020,03/18/20,Closed Won,"BOSTON Ranger #55 Pencil Sharpener, Black",83168.00
174,5101,CA-2016-158442,03/18/20,03/18/20,Proposing,Newell 333,4448.00
175,5102,CA-2016-158442,03/18/20,03/18/20,Proposing,Xerox 1966,5184.00
176,5103,CA-2016-158442,03/18/20,03/18/20,Proposing,Xerox 1967,15552.00
177,9406,CA-2016-152618,03/15/20,03/18/20,Closed Lost,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91
178,9407,CA-2016-152618,03/15/20,03/18/20,Closed Lost,Xerox 1963,8448.00
179,1891,CA-2016-157623,03/15/20,03/19/20,Closed Won,Xerox 1972,10.56
180,1892,CA-2016-157623,03/15/20,03/19/20,Closed Won,Avery Hi-Liter Fluorescent Desk Style Markers,3.38
181,9515,CA-2016-100293,03/15/20,03/19/20,Closed Won,Xerox 1887,91056.00
182,603,CA-2016-149958,03/16/20,03/20/20,Closed Won,"Hot File 7-Pocket, Floor Stand",142776.00
183,604,CA-2016-149958,03/16/20,03/20/20,Closed Won,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45696.00
184,605,CA-2016-149958,03/16/20,03/20/20,Closed Won,Insertable Tab Post Binder Dividers,7218.00
185,606,CA-2016-149958,03/16/20,03/20/20,Closed Won,GBC VeloBinder Manual Binding System,4318.80
186,607,CA-2016-149958,03/16/20,03/20/20,Closed Won,Xerox 1889,131904.00
187,2841,US-2016-125521,03/15/20,03/20/20,Closed Won,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92
188,4677,CA-2016-114510,03/15/20,03/20/20,Closed Won,GBC Wire Binding Combs,33088.00
189,4678,CA-2016-114510,03/15/20,03/20/20,Closed Won,Carina Double Wide Media Storage Towers in Natural & Black,80.98
190,4679,CA-2016-114510,03/15/20,03/20/20,Closed Won,ImationÂ 30456 USBÂ Flash DriveÂ 8GB,8280.00
191,4680,CA-2016-114510,03/15/20,03/20/20,Closed Won,Staple magnet,21.36
192,4681,CA-2016-114510,03/15/20,03/20/20,Closed Won,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",62048.00
193,8011,CA-2016-127859,03/18/20,03/21/20,Negotiating,Xerox 1909,126624.00
194,2358,US-2016-148838,03/18/20,03/22/20,Closed Won,Bretford Rectangular Conference Table Tops,0.00
195,2359,US-2016-148838,03/18/20,03/22/20,Closed Won,Balt Solid Wood Round Tables,0.00
196,2360,US-2016-148838,03/18/20,03/22/20,Closed Won,"Hon 30"" x 60"" Table with Locking Drawer",613908.00
197,2361,US-2016-148838,03/18/20,03/22/20,Closed Won,Xerox 1926,34.86
198,2362,US-2016-148838,03/18/20,03/22/20,Closed Won,Xerox 1918,155.04
199,3453,CA-2016-157609,03/17/20,03/22/20,Negotiating,Polycom VoiceStation 500 ConferenceÂ phone,471.92
200,6152,CA-2016-111871,03/19/20,03/22/20,Negotiating,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33
201,6161,CA-2016-103989,03/20/20,03/22/20,Closed Lost,Cisco 8x8 Inc. 6753i IP Business Phone System,32397.60
202,6162,CA-2016-103989,03/20/20,03/22/20,Closed Lost,Avery 501,11808.00
203,6163,CA-2016-103989,03/20/20,03/22/20,Closed Lost,Crate-A-Files,26160.00
204,6164,CA-2016-103989,03/20/20,03/22/20,Closed Lost,"Avery Flip-Chart Easel Binder, Black",33.57
205,6165,CA-2016-103989,03/20/20,03/22/20,Closed Lost,Eldon Wave Desk Accessories,4992.00
206,6166,CA-2016-103989,03/20/20,03/22/20,Closed Lost,Document Clip Frames,20016.00
207,6167,CA-2016-103989,03/20/20,03/22/20,Closed Lost,"LogitechÂ Wireless Boombox Speaker - portable - wireless, wired",170.24
208,7428,US-2016-164763,03/18/20,03/22/20,Closed Won,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11.43
209,7429,US-2016-164763,03/18/20,03/22/20,Closed Won,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30.44
210,7430,US-2016-164763,03/18/20,03/22/20,Closed Won,Xerox 1957,12.96
211,7431,US-2016-164763,03/18/20,03/22/20,Closed Won,EcoTones Memo Sheets,16.00
212,7432,US-2016-164763,03/18/20,03/22/20,Closed Won,Belkin 6 Outlet Metallic Surge Strip,32.67
213,4341,US-2016-129609,03/23/20,03/23/20,Proposing,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",16.28
214,2697,CA-2016-145317,03/19/20,03/24/20,Closed Won,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,8213.00
215,2698,CA-2016-145317,03/19/20,03/24/20,Closed Won,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
216,2699,CA-2016-145317,03/19/20,03/24/20,Closed Won,Xerox 195,21376.00
217,2700,CA-2016-145317,03/19/20,03/24/20,Closed Won,Avery Fluorescent Highlighter Four-Color Set,8016.00
218,2701,CA-2016-145317,03/19/20,03/24/20,Closed Won,"Executive Impressions 13"" Clairmont Wall Clock",30768.00
219,2702,CA-2016-145317,03/19/20,03/24/20,Closed Won,Staples,18936.00
220,2703,CA-2016-145317,03/19/20,03/24/20,Closed Won,"Dana Fluorescent Magnifying Lamp, White, 36""",122352.00
221,1346,CA-2016-118339,03/18/20,03/25/20,Closed Won,Bionaire Personal Warm Mist Humidifier/Vaporizer,93.78
222,1347,CA-2016-118339,03/18/20,03/25/20,Closed Won,"Memo Book, 100 Message Capacity, 5 3/8â€ x 11â€",47.18
223,1348,CA-2016-118339,03/18/20,03/25/20,Closed Won,Newell 35,19.68
224,1349,CA-2016-118339,03/18/20,03/25/20,Closed Won,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,53.40
225,1350,CA-2016-118339,03/18/20,03/25/20,Closed Won,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,35.88
226,7328,US-2016-131275,03/19/20,03/25/20,Closed Won,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111.00
227,7329,US-2016-131275,03/19/20,03/25/20,Closed Won,Swingline SM12-08 MicroCut Jam Free Shredder,0.00
228,7330,US-2016-131275,03/19/20,03/25/20,Closed Won,Tennsco 6- and 18-Compartment Lockers,1856.19
229,196,CA-2016-140004,03/22/20,03/26/20,Closed Won,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7408.00
230,197,CA-2016-140004,03/22/20,03/26/20,Closed Won,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6048.00
231,5461,US-2016-107405,03/22/20,03/26/20,Closed Won,Tennsco Commercial Shelving,16272.00
232,7584,CA-2016-163223,03/22/20,03/26/20,Closed Won,Samsung Galaxy S4 Active,34999.30
233,7585,CA-2016-163223,03/22/20,03/26/20,Closed Won,Avery 492,14.40
234,7586,CA-2016-163223,03/22/20,03/26/20,Closed Won,Xerox 1919,122.97
235,7587,CA-2016-163223,03/22/20,03/26/20,Closed Won,American Pencil,9.32
236,7588,CA-2016-163223,03/22/20,03/26/20,Closed Won,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",122.94
237,8344,US-2016-155544,03/22/20,03/26/20,Closed Won,Avery 505,5920.00
238,8345,US-2016-155544,03/22/20,03/26/20,Closed Won,DAX Wood Document Frame,32952.00
239,8346,US-2016-155544,03/22/20,03/26/20,Closed Won,Global Highback Leather Tilter in Burgundy,218376.00
240,1768,US-2016-158057,03/23/20,03/27/20,Closed Won,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",7644.00
241,1769,US-2016-158057,03/23/20,03/27/20,Closed Won,GBC Prestige Therm-A-Bind Covers,5146.50
